State,Location,AIAN,Asian,Black,Hispanic,White,Multi,Total
AZ,rural-remote,2.222222222,6.666666667,0,17.77777778,73.33333333,0,45
AZ,town-remote,0.163755459,0.136462882,0.136462882,97.62554585,1.774017467,0.163755459,3664
AZ,rural-remote,1.055408971,0.263852243,0.527704485,19.52506596,78.36411609,0.263852243,379
AZ,suburban-large,0.86406231,2.336619204,7.379010993,37.87675956,46.92710235,4.61644558,24651
AZ,rural-distant,2.475247525,0.99009901,1.98019802,69.8019802,23.76237624,0.99009901,202
AZ,rural-remote,2.631578947,1.754385965,0,42.10526316,53.50877193,0,114
AZ,rural-fringe,4.942528736,0.114942529,8.16091954,79.54022989,6.091954023,1.149425287,870
AZ,city-small,24.40692013,1.098104216,0.745882109,27.54584067,43.08505128,3.118201595,9653
AZ,rural-fringe,2.066823731,2.066823731,8.449346755,36.37823945,48.77918184,2.259584493,9338
AZ,suburban-large,1.457358762,1.54731918,2.302986686,51.00755668,42.51529327,1.169485426,5558
AZ,suburban-large,12.87726358,1.676727029,1.274312542,10.52984574,69.21529175,4.426559356,1491
AZ,city-large,1.302862025,1.067919692,8.329773601,80.73472875,7.005553182,1.559162751,4682
AZ,rural-distant,15.66820276,0,0,3.225806452,76.95852535,4.147465438,217
AZ,city-small,0.986842105,4.385964912,13.48684211,23.35526316,52.96052632,4.824561404,912
AZ,rural-remote,91.23966942,0,0.165289256,1.157024793,7.438016529,0,605
AZ,town-distant,0,0.056689342,0.018896447,99.81103553,0.094482237,0.018896447,5292
AZ,rural-remote,96.03746398,0.216138329,0,1.152737752,0.216138329,2.377521614,1388
AZ,rural-remote,35.62653563,0,0.245700246,57.002457,7.125307125,0,407
AZ,suburban-large,1.00931677,4.235679779,3.33563377,21.98930297,65.95353117,3.476535542,34776
AZ,suburban-large,1.713871902,2.679433537,9.711940779,71.74122948,11.93273254,2.220791761,12428
AZ,city-large,2.445019405,3.596377749,8.615782665,56.25485123,27.63260026,1.455368693,15460
AZ,town-remote,27.56489493,1.112484549,0.123609394,32.81829419,36.15574784,2.224969098,1618
AZ,rural-remote,22.45614035,1.052631579,1.052631579,40.70175439,30.1754386,4.561403509,285
AZ,rural-remote,0,0,0,19.51219512,78.04878049,2.43902439,41
AZ,rural-remote,0.746268657,0,0.373134328,87.68656716,11.19402985,0,268
AZ,suburban-large,0.7357196,4.406051087,4.306852939,19.97189386,65.92543606,4.654046458,12097
AZ,town-remote,62.05203731,0.490918017,0.687285223,14.33480609,18.31124202,4.12371134,2037
AZ,city-large,0,0,0.282485876,99.71751412,0,0,354
AZ,suburban-small,1.423049895,0.966268447,0.878425861,32.50175685,60.68165847,3.548840478,5692
AZ,rural-remote,0,0,0,78.82352941,20,1.176470588,85
AZ,rural-remote,94.84679666,0.557103064,0.139275766,2.924791086,0,1.532033426,718
